name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
HDS_USECOL:P-E3-S6_1_TIME:29030401.0,681.762,0.451771,680.502,682.735,682.214,681.31,753.905,41.3244,684.49,896.74,795.229,712.58,1.7552
HDS_USECOL:P-E3-S6_1_TIME:29116801.0,681.84,0.460973,680.784,683.195,682.301,681.379,753.902,41.3227,684.49,896.73,795.225,712.579,1.29519
HDS_USECOL:P-E3-S6_1_TIME:29203201.0,681.79,0.457434,680.868,682.889,682.247,681.332,753.899,41.3212,684.49,896.72,795.22,712.578,1.60121
HDS_USECOL:P-E3-S6_1_TIME:29289601.0,681.745,0.483149,680.606,682.948,682.229,681.262,753.897,41.3199,684.49,896.71,795.217,712.577,1.54167
HDS_USECOL:P-E3-S6_1_TIME:29376001.0,681.76,0.524536,680.619,683.014,682.284,681.235,753.894,41.3185,684.49,896.7,795.213,712.576,1.47635
HDS_USECOL:P-E3-S6_1_TIME:29462401.0,681.816,0.477262,680.777,683.108,682.293,681.338,753.892,41.3168,684.49,896.7,795.209,712.575,1.38165
HDS_USECOL:P-E3-S6_1_TIME:29548801.0,681.809,0.417013,680.916,682.998,682.226,681.392,753.889,41.3151,684.49,896.69,795.204,712.574,1.49184
HDS_USECOL:P-E3-S6_1_TIME:29635201.0,681.83,0.433582,680.786,682.898,682.264,681.396,753.887,41.3139,684.49,896.68,795.201,712.573,1.59217
HDS_USECOL:P-E3-S6_1_TIME:29721601.0,681.863,0.509377,680.665,683.602,682.373,681.354,753.884,41.3126,684.48,896.67,795.197,712.571,0.877694
HDS_USECOL:P-E3-S6_1_TIME:29808001.0,681.833,0.482982,680.676,683.091,682.316,681.35,753.881,41.3109,684.48,896.66,795.192,712.571,1.38893
HDS_USECOL:P-E3-S6_1_TIME:29894401.0,681.743,0.509029,680.204,682.762,682.252,681.234,753.879,41.31,684.48,896.65,795.189,712.569,1.71791
HDS_USECOL:P-E3-S6_1_TIME:29980801.0,681.755,0.523353,680.844,683.122,682.279,681.232,753.877,41.3084,684.48,896.64,795.185,712.568,1.35762
HDS_USECOL:P-E3-S6_1_TIME:30067201.0,681.762,0.434622,680.633,682.735,682.197,681.328,753.874,41.3064,684.48,896.63,795.181,712.568,1.74458
HDS_USECOL:P-E3-S6_1_TIME:30153601.0,681.826,0.509027,680.402,683.014,682.335,681.316,753.872,41.3055,684.48,896.62,795.177,712.566,1.46628
HDS_USECOL:P-E3-S6_1_TIME:30240001.0,681.704,0.550783,680.583,683.015,682.255,681.153,753.869,41.3037,684.48,896.61,795.173,712.565,1.46544
HDS_USECOL:P-E3-S6_1_TIME:30326401.0,681.782,0.527861,680.251,683.423,682.31,681.254,753.866,41.3028,684.48,896.61,795.169,712.563,1.05686
HDS_USECOL:P-E3-S6_1_TIME:30412801.0,681.749,0.473777,680.014,683.267,682.223,681.275,753.864,41.3013,684.48,896.6,795.165,712.563,1.2127
HDS_USECOL:P-E3-S6_1_TIME:30499201.0,681.738,0.426701,680.855,682.858,682.165,681.311,753.861,41.3002,684.48,896.59,795.161,712.561,1.62171
HDS_USECOL:P-E3-S6_1_TIME:30585601.0,681.677,0.498301,680.536,682.884,682.176,681.179,753.859,41.2985,684.48,896.58,795.157,712.56,1.59606
HDS_USECOL:P-E3-S6_1_TIME:30672001.0,681.701,0.520006,680.032,683.141,682.221,681.181,753.856,41.297,684.48,896.57,795.153,712.559,1.33855
HDS_USECOL:P-E3-S6_1_TIME:30758401.0,681.68,0.47068,680.471,683.106,682.151,681.21,753.853,41.2953,684.48,896.56,795.148,712.558,1.37447
