name,value,group,weight
flow_gal_usecol:gal-flow_time:116899201.0,-0.010242,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:116985601.0,-0.009988,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117072001.0,-0.0097432,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117158401.0,-0.009507,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117244801.0,-0.0092791,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117331201.0,-0.009059,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117417601.0,-0.0088466,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117504001.0,-0.0086416,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11750401.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117590401.0,-0.0084435,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117676801.0,-0.0082522,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117763201.0,-0.0080674,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117849601.0,-0.0078888,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:117936001.0,-0.0077163,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118022401.0,-0.0075495,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118108801.0,-0.0073882,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118195201.0,-0.0072323,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118281601.0,-0.0070815,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118368001.0,-0.0069356,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11836801.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118454401.0,-0.0067945,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118540801.0,-0.006658,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118627201.0,-0.0065258,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118713601.0,-0.0063978,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118800001.0,-0.006274,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118886401.0,-0.006154,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:118972801.0,-0.0060378,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119059201.0,-0.0059252,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119145601.0,-0.0058161,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119232001.0,-0.0057103,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11923201.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119318401.0,-0.0056078,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119404801.0,-0.0055084,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119491201.0,-0.005412,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119577601.0,-0.0053185,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119664001.0,-0.0052278,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119750401.0,-0.0051398,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119836801.0,-0.0050543,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:119923201.0,-0.0049714,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120009601.0,-0.0048908,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120096001.0,-0.0048126,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:12009601.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120182401.0,-0.0047366,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120268801.0,-0.0046627,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120355201.0,-0.004591,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120441601.0,-0.0045212,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120528001.0,-0.0044534,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120614401.0,-0.0043875,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120700801.0,-0.0043234,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120787201.0,-0.004261,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120873601.0,-0.0042003,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:120960001.0,-0.0041412,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:12096001.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:1209601.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121046401.0,-0.0040837,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121132801.0,-0.0040277,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121219201.0,-0.0039732,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121305601.0,-0.0039201,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121392001.0,-0.0038684,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121478401.0,-0.003818,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121564801.0,-0.0037689,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121651201.0,-0.003721,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121737601.0,-0.0036744,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121824001.0,-0.0036289,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:12182401.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121910401.0,-0.0035845,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:121996801.0,-0.0035412,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:122083201.0,-0.003499,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:122169601.0,-0.0034578,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:122256001.0,-0.0034176,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:122342401.0,-0.0033783,flow_gal_usecol:gal-flow,0
